"ExNum" "CrownShape" "WeatherStation" "CrownTransmissibility" "ForestGapSize" "PlotID" "Proportion" "Area"
25 "Disk" "McMinnville" 0.1 5 1 0.6 3547
25 "Disk" "McMinnville" 0.1 5 1 0.7 4374
25 "Disk" "McMinnville" 0.1 5 1 0.8 5295
25 "Disk" "McMinnville" 0.1 5 1 0.9 6361
25 "Disk" "McMinnville" 0.1 5 1 1 7845
26 "Ellipsoid" "McMinnville" 0.1 5 1 0.1 164
26 "Ellipsoid" "McMinnville" 0.1 5 1 0.2 364
26 "Ellipsoid" "McMinnville" 0.1 5 1 0.3 596
26 "Ellipsoid" "McMinnville" 0.1 5 1 0.4 862
26 "Ellipsoid" "McMinnville" 0.1 5 1 0.5 1172
26 "Ellipsoid" "McMinnville" 0.1 5 1 0.6 1534
26 "Ellipsoid" "McMinnville" 0.1 5 1 0.7 1967
26 "Ellipsoid" "McMinnville" 0.1 5 1 0.8 2518
26 "Ellipsoid" "McMinnville" 0.1 5 1 0.9 3305
26 "Ellipsoid" "McMinnville" 0.1 5 1 1 7845
27 "Disk" "Lindenberg" 0.1 5 1 0.1 440
27 "Disk" "Lindenberg" 0.1 5 1 0.2 960
27 "Disk" "Lindenberg" 0.1 5 1 0.3 1535
27 "Disk" "Lindenberg" 0.1 5 1 0.4 2165
27 "Disk" "Lindenberg" 0.1 5 1 0.5 2860
27 "Disk" "Lindenberg" 0.1 5 1 0.6 3618
27 "Disk" "Lindenberg" 0.1 5 1 0.7 4451
27 "Disk" "Lindenberg" 0.1 5 1 0.8 5377
27 "Disk" "Lindenberg" 0.1 5 1 0.9 6436
27 "Disk" "Lindenberg" 0.1 5 1 1 7845
28 "Ellipsoid" "Lindenberg" 0.1 5 1 0.1 143
28 "Ellipsoid" "Lindenberg" 0.1 5 1 0.2 314
28 "Ellipsoid" "Lindenberg" 0.1 5 1 0.3 512
28 "Ellipsoid" "Lindenberg" 0.1 5 1 0.4 740
28 "Ellipsoid" "Lindenberg" 0.1 5 1 0.5 1004
28 "Ellipsoid" "Lindenberg" 0.1 5 1 0.6 1313
28 "Ellipsoid" "Lindenberg" 0.1 5 1 0.7 1691
28 "Ellipsoid" "Lindenberg" 0.1 5 1 0.8 2177
28 "Ellipsoid" "Lindenberg" 0.1 5 1 0.9 2876
28 "Ellipsoid" "Lindenberg" 0.1 5 1 1 7845
29 "Disk" "Croker river" 0.1 5 1 0.1 544
29 "Disk" "Croker river" 0.1 5 1 0.2 1160
29 "Disk" "Croker river" 0.1 5 1 0.3 1818
29 "Disk" "Croker river" 0.1 5 1 0.4 2514
29 "Disk" "Croker river" 0.1 5 1 0.5 3247
29 "Disk" "Croker river" 0.1 5 1 0.6 4026
29 "Disk" "Croker river" 0.1 5 1 0.7 4858
29 "Disk" "Croker river" 0.1 5 1 0.8 5750
29 "Disk" "Croker river" 0.1 5 1 0.9 6720
29 "Disk" "Croker river" 0.1 5 1 1 7845
30 "Ellipsoid" "Croker river" 0.1 5 1 0.1 80
30 "Ellipsoid" "Croker river" 0.1 5 1 0.2 183
30 "Ellipsoid" "Croker river" 0.1 5 1 0.3 301
30 "Ellipsoid" "Croker river" 0.1 5 1 0.4 438
30 "Ellipsoid" "Croker river" 0.1 5 1 0.5 595
30 "Ellipsoid" "Croker river" 0.1 5 1 0.6 778
30 "Ellipsoid" "Croker river" 0.1 5 1 0.7 995
30 "Ellipsoid" "Croker river" 0.1 5 1 0.8 1267
30 "Ellipsoid" "Croker river" 0.1 5 1 0.9 1653
30 "Ellipsoid" "Croker river" 0.1 5 1 1 7845
31 "Disk" "Phillip SW Belize" 0.05 5 1 0.1 359
31 "Disk" "Phillip SW Belize" 0.05 5 1 0.2 795
31 "Disk" "Phillip SW Belize" 0.05 5 1 0.3 1296
31 "Disk" "Phillip SW Belize" 0.05 5 1 0.4 1861
31 "Disk" "Phillip SW Belize" 0.05 5 1 0.5 2493
31 "Disk" "Phillip SW Belize" 0.05 5 1 0.6 3201
31 "Disk" "Phillip SW Belize" 0.05 5 1 0.7 4000
