"ExNum" "CrownShape" "WeatherStation" "CrownTransmissibility" "ForestGapSize" "PlotID" "TotalRad"
198 "Ellipsoid" "Lindenberg" 0 20 1 2441424445.38023
199 "Disk" "Croker river" 0 20 1 2645860229.21036
200 "Ellipsoid" "Croker river" 0 20 1 2889140838.60517
201 "Disk" "Phillip SW Belize" 0.2 25 1 3254908660.07515
202 "Ellipsoid" "Phillip SW Belize" 0.2 25 1 3392212496.29521
203 "Disk" "Lake Charles" 0.2 25 1 3314790897.43336
204 "Ellipsoid" "Lake Charles" 0.2 25 1 3451482917.02101
205 "Disk" "McMinnville" 0.2 25 1 3991197927.72314
206 "Ellipsoid" "McMinnville" 0.2 25 1 4181824018.73099
207 "Disk" "Lindenberg" 0.2 25 1 3617170875.06546
208 "Ellipsoid" "Lindenberg" 0.2 25 1 3806350630.81725
209 "Disk" "Croker river" 0.2 25 1 4087205158.62938
210 "Ellipsoid" "Croker river" 0.2 25 1 4400288083.33598
211 "Disk" "Phillip SW Belize" 0.15 25 1 3076150105.27637
212 "Ellipsoid" "Phillip SW Belize" 0.15 25 1 3217424557.39823
213 "Disk" "Lake Charles" 0.15 25 1 3134206788.26604
214 "Ellipsoid" "Lake Charles" 0.15 25 1 3275064368.27331
215 "Disk" "McMinnville" 0.15 25 1 3767006065.70741
216 "Ellipsoid" "McMinnville" 0.15 25 1 3963548518.48015
217 "Disk" "Lindenberg" 0.15 25 1 3412989714.50175
218 "Ellipsoid" "Lindenberg" 0.15 25 1 3607635786.90085
219 "Disk" "Croker river" 0.15 25 1 3826429432.38683
220 "Ellipsoid" "Croker river" 0.15 25 1 4146412006.57506
221 "Disk" "Phillip SW Belize" 0.1 25 1 2912407708.52822
222 "Ellipsoid" "Phillip SW Belize" 0.1 25 1 3057024257.39886
223 "Disk" "Lake Charles" 0.1 25 1 2968710515.75696
224 "Ellipsoid" "Lake Charles" 0.1 25 1 3113145652.0492
225 "Disk" "McMinnville" 0.1 25 1 3561148753.74069
226 "Ellipsoid" "McMinnville" 0.1 25 1 3762862855.4724
227 "Disk" "Lindenberg" 0.1 25 1 3225354667.59322
228 "Ellipsoid" "Lindenberg" 0.1 25 1 3424719380.74386
229 "Disk" "Croker river" 0.1 25 1 3586062870.59239
230 "Ellipsoid" "Croker river" 0.1 25 1 3912130122.6204
231 "Disk" "Phillip SW Belize" 0.05 25 1 2762763049.27993
232 "Ellipsoid" "Phillip SW Belize" 0.05 25 1 2910089573.76929
233 "Disk" "Lake Charles" 0.05 25 1 2817341267.10144
234 "Ellipsoid" "Lake Charles" 0.05 25 1 2964768048.88914
235 "Disk" "McMinnville" 0.05 25 1 3372389882.1413
236 "Ellipsoid" "McMinnville" 0.05 25 1 3578540918.01138
237 "Disk" "Lindenberg" 0.05 25 1 3053136440.53787
238 "Ellipsoid" "Lindenberg" 0.05 25 1 3256483747.81677
239 "Disk" "Croker river" 0.05 25 1 3364587075.86705
240 "Ellipsoid" "Croker river" 0.05 25 1 3696000447.62117
241 "Disk" "Phillip SW Belize" 0 25 1 2626346154.85192
242 "Ellipsoid" "Phillip SW Belize" 0 25 1 2775749425.35358
243 "Disk" "Lake Charles" 0 25 1 2679188986.74762
244 "Ellipsoid" "Lake Charles" 0 25 1 2829026490.3723
245 "Disk" "McMinnville" 0 25 1 3199563804.33796
246 "Ellipsoid" "McMinnville" 0 25 1 3409429351.31242
247 "Disk" "Lindenberg" 0 25 1 2895272724.75059
248 "Ellipsoid" "Lindenberg" 0 25 1 3101879383.76262
249 "Disk" "Croker river" 0 25 1 3160587632.33177
250 "Ellipsoid" "Croker river" 0 25 1 3496678730.73966
251 "Disk" "Phillip SW Belize" 0.2 5 2 2026662916.09863
252 "Ellipsoid" "Phillip SW Belize" 0.2 5 2 2054628803.65648
253 "Disk" "Lake Charles" 0.2 5 2 2094543403.9999
254 "Ellipsoid" "Lake Charles" 0.2 5 2 2122987065.55507
255 "Disk" "McMinnville" 0.2 5 2 2675957801.70915
256 "Ellipsoid" "McMinnville" 0.2 5 2 2726765079.6583
257 "Disk" "Lindenberg" 0.2 5 2 2468397822.7633
258 "Ellipsoid" "Lindenberg" 0.2 5 2 2524419438.59365
259 "Disk" "Croker river" 0.2 5 2 3135613872.95624
260 "Ellipsoid" "Croker river" 0.2 5 2 3244637273.09001
261 "Disk" "Phillip SW Belize" 0.15 5 2 1813222309.00642
262 "Ellipsoid" "Phillip SW Belize" 0.15 5 2 1843548334.09474
263 "Disk" "Lake Charles" 0.15 5 2 1878528802.93372
264 "Ellipsoid" "Lake Charles" 0.15 5 2 1909129515.7404
265 "Disk" "McMinnville" 0.15 5 2 2412478530.08785
266 "Ellipsoid" "McMinnville" 0.15 5 2 2467006590.03151
267 "Disk" "Lindenberg" 0.15 5 2 2229428331.9655
268 "Ellipsoid" "Lindenberg" 0.15 5 2 2289781308.11523
269 "Disk" "Croker river" 0.15 5 2 2843601537.11351
270 "Ellipsoid" "Croker river" 0.15 5 2 2961386064.44797
271 "Disk" "Phillip SW Belize" 0.1 5 2 1617868327.65036
272 "Ellipsoid" "Phillip SW Belize" 0.1 5 2 1650471843.56441
273 "Disk" "Lake Charles" 0.1 5 2 1680861013.95514
274 "Ellipsoid" "Lake Charles" 0.1 5 2 1713381216.64224
275 "Disk" "McMinnville" 0.1 5 2 2170801910.6059
276 "Ellipsoid" "McMinnville" 0.1 5 2 2228708062.47521
277 "Disk" "Lindenberg" 0.1 5 2 2009957125.39229
278 "Ellipsoid" "Lindenberg" 0.1 5 2 2074328461.95112
279 "Disk" "Croker river" 0.1 5 2 2574615914.99746
280 "Ellipsoid" "Croker river" 0.1 5 2 2700803448.47153
281 "Disk" "Phillip SW Belize" 0.05 5 2 1439429101.81919
282 "Ellipsoid" "Phillip SW Belize" 0.05 5 2 1474215746.02829
283 "Disk" "Lake Charles" 0.05 5 2 1500371618.179
284 "Ellipsoid" "Lake Charles" 0.05 5 2 1534544362.22334
285 "Disk" "McMinnville" 0.05 5 2 1949490259.13133
286 "Ellipsoid" "McMinnville" 0.05 5 2 2010393085.00379
287 "Disk" "Lindenberg" 0.05 5 2 1808679787.28531
288 "Ellipsoid" "Lindenberg" 0.05 5 2 1876717215.45377
289 "Disk" "Croker river" 0.05 5 2 2327037780.26962
290 "Ellipsoid" "Croker river" 0.05 5 2 2461222099.85573
291 "Disk" "Phillip SW Belize" 0 5 2 1276792541.49139
292 "Ellipsoid" "Phillip SW Belize" 0 5 2 1313658246.96482
293 "Disk" "Lake Charles" 0 5 2 1335952455.95515
294 "Ellipsoid" "Lake Charles" 0 5 2 1371483906.68154
295 "Disk" "McMinnville" 0 5 2 1747186507.32237
296 "Ellipsoid" "McMinnville" 0 5 2 1810670139.33696
297 "Disk" "Lindenberg" 0 5 2 1624367739.41299
298 "Ellipsoid" "Lindenberg" 0 5 2 1695684354.9149
299 "Disk" "Croker river" 0 5 2 2099354061.75843
300 "Ellipsoid" "Croker river" 0 5 2 2241087908.56235
301 "Disk" "Phillip SW Belize" 0.2 10 2 2133018300.8621
302 "Ellipsoid" "Phillip SW Belize" 0.2 10 2 2153287235.5456
303 "Disk" "Lake Charles" 0.2 10 2 2198306512.28815
304 "Ellipsoid" "Lake Charles" 0.2 10 2 2222421956.61884
305 "Disk" "McMinnville" 0.2 10 2 2792436281.53383
306 "Ellipsoid" "McMinnville" 0.2 10 2 2840528792.64164
307 "Disk" "Lindenberg" 0.2 10 2 2574357738.49438
308 "Ellipsoid" "Lindenberg" 0.2 10 2 2627348261.19429
309 "Disk" "Croker river" 0.2 10 2 3228240017.0927
310 "Ellipsoid" "Croker river" 0.2 10 2 3341793663.41147
311 "Disk" "Phillip SW Belize" 0.15 10 2 1921172127.68876
312 "Ellipsoid" "Phillip SW Belize" 0.15 10 2 1942760455.87345
313 "Disk" "Lake Charles" 0.15 10 2 1983529692.52883
314 "Ellipsoid" "Lake Charles" 0.15 10 2 2008965282.98191
315 "Disk" "McMinnville" 0.15 10 2 2529891130.27158
316 "Ellipsoid" "McMinnville" 0.15 10 2 2581029591.0869
317 "Disk" "Lindenberg" 0.15 10 2 2336230849.09935
318 "Ellipsoid" "Lindenberg" 0.15 10 2 2392845815.87623
319 "Disk" "Croker river" 0.15 10 2 2936918331.62589
320 "Ellipsoid" "Croker river" 0.15 10 2 3058510095.98818
321 "Disk" "Phillip SW Belize" 0.1 10 2 1727039203.85536
322 "Ellipsoid" "Phillip SW Belize" 0.1 10 2 1749852854.7647
323 "Disk" "Lake Charles" 0.1 10 2 1786697288.77555
324 "Ellipsoid" "Lake Charles" 0.1 10 2 1813213761.55055
325 "Disk" "McMinnville" 0.1 10 2 2288635959.27217
326 "Ellipsoid" "McMinnville" 0.1 10 2 2342508380.13694
327 "Disk" "Lindenberg" 0.1 10 2 2117124693.82591
328 "Ellipsoid" "Lindenberg" 0.1 10 2 2177085773.98111
329 "Disk" "Croker river" 0.1 10 2 2668180613.03174
330 "Ellipsoid" "Croker river" 0.1 10 2 2797496314.63582
331 "Disk" "Phillip SW Belize" 0.05 10 2 1549479647.84916
332 "Ellipsoid" "Phillip SW Belize" 0.05 10 2 1573416121.04755
333 "Disk" "Lake Charles" 0.05 10 2 1606672522.99531
334 "Ellipsoid" "Lake Charles" 0.05 10 2 1634005279.34007
335 "Disk" "McMinnville" 0.05 10 2 2067267700.12287
336 "Ellipsoid" "McMinnville" 0.05 10 2 2123529246.85968
337 "Disk" "Lindenberg" 0.05 10 2 1915764619.3063
338 "Ellipsoid" "Lindenberg" 0.05 10 2 1978761299.08058
339 "Disk" "Croker river" 0.05 10 2 2420429504.4472
340 "Ellipsoid" "Croker river" 0.05 10 2 2557122837.51937
341 "Disk" "Phillip SW Belize" 0 10 2 1387412396.85822
342 "Ellipsoid" "Phillip SW Belize" 0 10 2 1412361848.95474
343 "Disk" "Lake Charles" 0 10 2 1442378038.24802
344 "Ellipsoid" "Lake Charles" 0 10 2 1470238553.41466
345 "Disk" "McMinnville" 0 10 2 1864463021.71826
346 "Ellipsoid" "McMinnville" 0 10 2 1922738824.26619
347 "Disk" "Lindenberg" 0 10 2 1730950995.1327
348 "Ellipsoid" "Lindenberg" 0 10 2 1796643810.24788
349 "Disk" "Croker river" 0 10 2 2192172902.92484
350 "Ellipsoid" "Croker river" 0 10 2 2335870832.78017
351 "Disk" "Phillip SW Belize" 0.2 15 2 2392358629.73228
352 "Ellipsoid" "Phillip SW Belize" 0.2 15 2 2435334525.62987
353 "Disk" "Lake Charles" 0.2 15 2 2467494122.22818
