"ExNum" "CrownShape" "WeatherStation" "CrownTransmissibility" "ForestGapSize" "PlotID" "CentroidX" "CentroidY"
135 "Disk" "McMinnville" 0.05 15 1 1.81911306890312 3.9768247877584
136 "Ellipsoid" "McMinnville" 0.05 15 1 1.35605773006133 3.63733010863017
137 "Disk" "Lindenberg" 0.05 15 1 1.91142675738218 4.42312021872883
138 "Ellipsoid" "Lindenberg" 0.05 15 1 1.27304460198457 4.30525274060706
139 "Disk" "Croker river" 0.05 15 1 1.50148659257427 4.31168004983338
140 "Ellipsoid" "Croker river" 0.05 15 1 0.793242766248051 4.41526827316215
141 "Disk" "Phillip SW Belize" 0 15 1 2.17590467798903 1.72859646742704
142 "Ellipsoid" "Phillip SW Belize" 0 15 1 1.89048655237751 1.94249358532614
143 "Disk" "Lake Charles" 0 15 1 2.01238735175314 2.81552694426828
144 "Ellipsoid" "Lake Charles" 0 15 1 1.74770937010168 2.82575172493678
145 "Disk" "McMinnville" 0 15 1 1.95643855054656 4.28433892255153
146 "Ellipsoid" "McMinnville" 0 15 1 1.43212506697971 3.90853350939977
147 "Disk" "Lindenberg" 0 15 1 2.05933538755408 4.75304145699885
148 "Ellipsoid" "Lindenberg" 0 15 1 1.33345681291434 4.62607051000802
149 "Disk" "Croker river" 0 15 1 1.65985955113104 4.65917171963333
150 "Ellipsoid" "Croker river" 0 15 1 0.82680960950768 4.74649955062445
151 "Disk" "Phillip SW Belize" 0.2 20 1 1.62144147121283 0.38776394838587
152 "Ellipsoid" "Phillip SW Belize" 0.2 20 1 1.69430498841581 0.527171420754779
153 "Disk" "Lake Charles" 0.2 20 1 1.64756322559254 1.80569765669597
154 "Ellipsoid" "Lake Charles" 0.2 20 1 1.61543418429758 1.6843595830829
155 "Disk" "McMinnville" 0.2 20 1 1.55133230307861 3.68295767475837
156 "Ellipsoid" "McMinnville" 0.2 20 1 1.39138583875978 3.1284883486703
157 "Disk" "Lindenberg" 0.2 20 1 1.54867396054883 4.39494911916075
158 "Ellipsoid" "Lindenberg" 0.2 20 1 1.30988657268423 3.92954360212469
159 "Disk" "Croker river" 0.2 20 1 0.975263254333713 4.58457485215789
160 "Ellipsoid" "Croker river" 0.2 20 1 0.731890016237553 4.48686045146397
161 "Disk" "Phillip SW Belize" 0.15 20 1 1.76073338965951 0.422298915869736
162 "Ellipsoid" "Phillip SW Belize" 0.15 20 1 1.81837780806903 0.572619836144356
163 "Disk" "Lake Charles" 0.15 20 1 1.78152645648843 1.96651647180779
164 "Ellipsoid" "Lake Charles" 0.15 20 1 1.72817565525829 1.82509471071149
165 "Disk" "McMinnville" 0.15 20 1 1.6780781379526 3.98089083539366
166 "Ellipsoid" "McMinnville" 0.15 20 1 1.47680132720706 3.37560609657336
167 "Disk" "Lindenberg" 0.15 20 1 1.67756320765203 4.74412687355592
168 "Ellipsoid" "Lindenberg" 0.15 20 1 1.38331087870847 4.23982851559063
169 "Disk" "Croker river" 0.15 20 1 1.07801029061252 4.97585117707465
170 "Ellipsoid" "Croker river" 0.15 20 1 0.766154815967431 4.85395655195342
171 "Disk" "Phillip SW Belize" 0.1 20 1 1.90603934995525 0.458706421870844
172 "Ellipsoid" "Phillip SW Belize" 0.1 20 1 1.94438226924968 0.617801059169398
173 "Disk" "Lake Charles" 0.1 20 1 1.91985325417883 2.13470113405269
174 "Ellipsoid" "Lake Charles" 0.1 20 1 1.84181066430819 1.96845293094171
