"ExNum" "CrownShape" "WeatherStation" "CrownTransmissibility" "ForestGapSize" "PlotID" "TotalFull"
222 "Ellipsoid" "Phillip SW Belize" 0.1 25 1 2587762
223 "Disk" "Lake Charles" 0.1 25 1 3741921
224 "Ellipsoid" "Lake Charles" 0.1 25 1 2629090
225 "Disk" "McMinnville" 0.1 25 1 3956082
226 "Ellipsoid" "McMinnville" 0.1 25 1 2458000
227 "Disk" "Lindenberg" 0.1 25 1 3921151
228 "Ellipsoid" "Lindenberg" 0.1 25 1 2300049
229 "Disk" "Croker river" 0.1 25 1 4499101
230 "Ellipsoid" "Croker river" 0.1 25 1 1712750
231 "Disk" "Phillip SW Belize" 0.05 25 1 3581044
232 "Ellipsoid" "Phillip SW Belize" 0.05 25 1 2587762
233 "Disk" "Lake Charles" 0.05 25 1 3741921
234 "Ellipsoid" "Lake Charles" 0.05 25 1 2629090
235 "Disk" "McMinnville" 0.05 25 1 3956082
236 "Ellipsoid" "McMinnville" 0.05 25 1 2458000
237 "Disk" "Lindenberg" 0.05 25 1 3921151
238 "Ellipsoid" "Lindenberg" 0.05 25 1 2300049
239 "Disk" "Croker river" 0.05 25 1 4499101
240 "Ellipsoid" "Croker river" 0.05 25 1 1712750
241 "Disk" "Phillip SW Belize" 0 25 1 3581044
242 "Ellipsoid" "Phillip SW Belize" 0 25 1 2587762
243 "Disk" "Lake Charles" 0 25 1 3741921
244 "Ellipsoid" "Lake Charles" 0 25 1 2629090
245 "Disk" "McMinnville" 0 25 1 3956082
246 "Ellipsoid" "McMinnville" 0 25 1 2458000
247 "Disk" "Lindenberg" 0 25 1 3921151
248 "Ellipsoid" "Lindenberg" 0 25 1 2300049
249 "Disk" "Croker river" 0 25 1 4499101
250 "Ellipsoid" "Croker river" 0 25 1 1712750
251 "Disk" "Phillip SW Belize" 0.2 5 2 1826458
252 "Ellipsoid" "Phillip SW Belize" 0.2 5 2 614067
253 "Disk" "Lake Charles" 0.2 5 2 1957838
254 "Ellipsoid" "Lake Charles" 0.2 5 2 585664
255 "Disk" "McMinnville" 0.2 5 2 2249763
256 "Ellipsoid" "McMinnville" 0.2 5 2 447021
257 "Disk" "Lindenberg" 0.2 5 2 2291599
258 "Ellipsoid" "Lindenberg" 0.2 5 2 355721
259 "Disk" "Croker river" 0.2 5 2 3145266
260 "Ellipsoid" "Croker river" 0.2 5 2 115267
261 "Disk" "Phillip SW Belize" 0.15 5 2 1826458
262 "Ellipsoid" "Phillip SW Belize" 0.15 5 2 614067
263 "Disk" "Lake Charles" 0.15 5 2 1957838
264 "Ellipsoid" "Lake Charles" 0.15 5 2 585664
265 "Disk" "McMinnville" 0.15 5 2 2249763
266 "Ellipsoid" "McMinnville" 0.15 5 2 447021
267 "Disk" "Lindenberg" 0.15 5 2 2291599
268 "Ellipsoid" "Lindenberg" 0.15 5 2 355721
269 "Disk" "Croker river" 0.15 5 2 3145266
270 "Ellipsoid" "Croker river" 0.15 5 2 115267
271 "Disk" "Phillip SW Belize" 0.1 5 2 1826458
272 "Ellipsoid" "Phillip SW Belize" 0.1 5 2 614067
273 "Disk" "Lake Charles" 0.1 5 2 1957838
274 "Ellipsoid" "Lake Charles" 0.1 5 2 585664
275 "Disk" "McMinnville" 0.1 5 2 2249763
276 "Ellipsoid" "McMinnville" 0.1 5 2 447021
277 "Disk" "Lindenberg" 0.1 5 2 2291599
278 "Ellipsoid" "Lindenberg" 0.1 5 2 355721
279 "Disk" "Croker river" 0.1 5 2 3145266
280 "Ellipsoid" "Croker river" 0.1 5 2 115267
281 "Disk" "Phillip SW Belize" 0.05 5 2 1826458
282 "Ellipsoid" "Phillip SW Belize" 0.05 5 2 614067
283 "Disk" "Lake Charles" 0.05 5 2 1957838
284 "Ellipsoid" "Lake Charles" 0.05 5 2 585664
285 "Disk" "McMinnville" 0.05 5 2 2249763
286 "Ellipsoid" "McMinnville" 0.05 5 2 447021
287 "Disk" "Lindenberg" 0.05 5 2 2291599
288 "Ellipsoid" "Lindenberg" 0.05 5 2 355721
289 "Disk" "Croker river" 0.05 5 2 3145266
290 "Ellipsoid" "Croker river" 0.05 5 2 115267
291 "Disk" "Phillip SW Belize" 0 5 2 1826458
292 "Ellipsoid" "Phillip SW Belize" 0 5 2 614067
