"ExNum" "CrownShape" "WeatherStation" "CrownTransmissibility" "ForestGapSize" "PlotID" "CentroidX" "CentroidY"
170 "Ellipsoid" "Croker river" 0.15 20 1 1.99385402360257 17.2747323674333
171 "Disk" "Phillip SW Belize" 0.1 20 1 2.04986742098178 0.239711190826294
172 "Ellipsoid" "Phillip SW Belize" 0.1 20 1 3.24853285804621 0.892041521318131
173 "Disk" "Lake Charles" 0.1 20 1 2.05385244282142 2.20482194076729
174 "Ellipsoid" "Lake Charles" 0.1 20 1 3.2947873077679 3.25738328734282
175 "Disk" "McMinnville" 0.1 20 1 1.93888386069482 4.5471198821638
176 "Ellipsoid" "McMinnville" 0.1 20 1 3.19512303883798 7.17583159827532
177 "Disk" "Lindenberg" 0.1 20 1 1.99278197528432 5.32151924079944
178 "Ellipsoid" "Lindenberg" 0.1 20 1 2.85059858052893 9.74084941043501
179 "Disk" "Croker river" 0.1 20 1 1.21735865080851 5.21495882419125
180 "Ellipsoid" "Croker river" 0.1 20 1 1.99385402360257 17.2747323674333
181 "Disk" "Phillip SW Belize" 0.05 20 1 2.04986742098178 0.239711190826294
182 "Ellipsoid" "Phillip SW Belize" 0.05 20 1 3.24853285804621 0.892041521318131
183 "Disk" "Lake Charles" 0.05 20 1 2.05385244282142 2.20482194076729
184 "Ellipsoid" "Lake Charles" 0.05 20 1 3.2947873077679 3.25738328734282
185 "Disk" "McMinnville" 0.05 20 1 1.93888386069482 4.5471198821638
186 "Ellipsoid" "McMinnville" 0.05 20 1 3.19512303883798 7.17583159827532
187 "Disk" "Lindenberg" 0.05 20 1 1.99278197528432 5.32151924079944
188 "Ellipsoid" "Lindenberg" 0.05 20 1 2.85059858052893 9.74084941043501
189 "Disk" "Croker river" 0.05 20 1 1.21735865080851 5.21495882419125
190 "Ellipsoid" "Croker river" 0.05 20 1 1.99385402360257 17.2747323674333
191 "Disk" "Phillip SW Belize" 0 20 1 2.04986742098178 0.239711190826294
192 "Ellipsoid" "Phillip SW Belize" 0 20 1 3.24853285804621 0.892041521318131
193 "Disk" "Lake Charles" 0 20 1 2.05385244282142 2.20482194076729
194 "Ellipsoid" "Lake Charles" 0 20 1 3.2947873077679 3.25738328734282
195 "Disk" "McMinnville" 0 20 1 1.93888386069482 4.5471198821638
196 "Ellipsoid" "McMinnville" 0 20 1 3.19512303883798 7.17583159827532
197 "Disk" "Lindenberg" 0 20 1 1.99278197528432 5.32151924079944
198 "Ellipsoid" "Lindenberg" 0 20 1 2.85059858052893 9.74084941043501
199 "Disk" "Croker river" 0 20 1 1.21735865080851 5.21495882419125
200 "Ellipsoid" "Croker river" 0 20 1 1.99385402360257 17.2747323674333
201 "Disk" "Phillip SW Belize" 0.2 25 1 1.23565055330233 -1.16788009306783
202 "Ellipsoid" "Phillip SW Belize" 0.2 25 1 0.935620431863518 -1.42143829301149
203 "Disk" "Lake Charles" 0.2 25 1 1.08596092755566 1.50710397146279
204 "Ellipsoid" "Lake Charles" 0.2 25 1 0.679888098163243 1.3958057731002
205 "Disk" "McMinnville" 0.2 25 1 0.97504247889705 4.86433167967701
206 "Ellipsoid" "McMinnville" 0.2 25 1 0.251139951179821 5.7926769731489
207 "Disk" "Lindenberg" 0.2 25 1 1.10019481524685 6.2309990102396
208 "Ellipsoid" "Lindenberg" 0.2 25 1 -0.121260894876587 8.48309492536898
209 "Disk" "Croker river" 0.2 25 1 0.972773005095907 7.10810737522896
210 "Ellipsoid" "Croker river" 0.2 25 1 -0.83863727922931 15.9038353525033
211 "Disk" "Phillip SW Belize" 0.15 25 1 1.23565055330233 -1.16788009306783
212 "Ellipsoid" "Phillip SW Belize" 0.15 25 1 0.935620431863518 -1.42143829301149
213 "Disk" "Lake Charles" 0.15 25 1 1.08596092755566 1.50710397146279
214 "Ellipsoid" "Lake Charles" 0.15 25 1 0.679888098163243 1.3958057731002
215 "Disk" "McMinnville" 0.15 25 1 0.97504247889705 4.86433167967701
216 "Ellipsoid" "McMinnville" 0.15 25 1 0.251139951179821 5.7926769731489
217 "Disk" "Lindenberg" 0.15 25 1 1.10019481524685 6.2309990102396
218 "Ellipsoid" "Lindenberg" 0.15 25 1 -0.121260894876587 8.48309492536898
219 "Disk" "Croker river" 0.15 25 1 0.972773005095907 7.10810737522896
220 "Ellipsoid" "Croker river" 0.15 25 1 -0.83863727922931 15.9038353525033
221 "Disk" "Phillip SW Belize" 0.1 25 1 1.23565055330233 -1.16788009306783
222 "Ellipsoid" "Phillip SW Belize" 0.1 25 1 0.935620431863518 -1.42143829301149
223 "Disk" "Lake Charles" 0.1 25 1 1.08596092755566 1.50710397146279
224 "Ellipsoid" "Lake Charles" 0.1 25 1 0.679888098163243 1.3958057731002
225 "Disk" "McMinnville" 0.1 25 1 0.97504247889705 4.86433167967701
226 "Ellipsoid" "McMinnville" 0.1 25 1 0.251139951179821 5.7926769731489
227 "Disk" "Lindenberg" 0.1 25 1 1.10019481524685 6.2309990102396
228 "Ellipsoid" "Lindenberg" 0.1 25 1 -0.121260894876587 8.48309492536898
229 "Disk" "Croker river" 0.1 25 1 0.972773005095907 7.10810737522896
230 "Ellipsoid" "Croker river" 0.1 25 1 -0.83863727922931 15.9038353525033
231 "Disk" "Phillip SW Belize" 0.05 25 1 1.23565055330233 -1.16788009306783
232 "Ellipsoid" "Phillip SW Belize" 0.05 25 1 0.935620431863518 -1.42143829301149
233 "Disk" "Lake Charles" 0.05 25 1 1.08596092755566 1.50710397146279
234 "Ellipsoid" "Lake Charles" 0.05 25 1 0.679888098163243 1.3958057731002
235 "Disk" "McMinnville" 0.05 25 1 0.97504247889705 4.86433167967701
236 "Ellipsoid" "McMinnville" 0.05 25 1 0.251139951179821 5.7926769731489
237 "Disk" "Lindenberg" 0.05 25 1 1.10019481524685 6.2309990102396
238 "Ellipsoid" "Lindenberg" 0.05 25 1 -0.121260894876587 8.48309492536898
239 "Disk" "Croker river" 0.05 25 1 0.972773005095907 7.10810737522896
240 "Ellipsoid" "Croker river" 0.05 25 1 -0.83863727922931 15.9038353525033
241 "Disk" "Phillip SW Belize" 0 25 1 1.23565055330233 -1.16788009306783
242 "Ellipsoid" "Phillip SW Belize" 0 25 1 0.935620431863518 -1.42143829301149
243 "Disk" "Lake Charles" 0 25 1 1.08596092755566 1.50710397146279
244 "Ellipsoid" "Lake Charles" 0 25 1 0.679888098163243 1.3958057731002
245 "Disk" "McMinnville" 0 25 1 0.97504247889705 4.86433167967701
246 "Ellipsoid" "McMinnville" 0 25 1 0.251139951179821 5.7926769731489
247 "Disk" "Lindenberg" 0 25 1 1.10019481524685 6.2309990102396
248 "Ellipsoid" "Lindenberg" 0 25 1 -0.121260894876587 8.48309492536898
249 "Disk" "Croker river" 0 25 1 0.972773005095907 7.10810737522896
250 "Ellipsoid" "Croker river" 0 25 1 -0.83863727922931 15.9038353525033
251 "Disk" "Phillip SW Belize" 0.2 5 2 0.153099605903886 -1.0676161181916
252 "Ellipsoid" "Phillip SW Belize" 0.2 5 2 -1.88732337025113 -1.20896905386546
253 "Disk" "Lake Charles" 0.2 5 2 0.376511744076885 -1.27842191233391
254 "Ellipsoid" "Lake Charles" 0.2 5 2 -2.14087258223145 -1.47817519943176
255 "Disk" "McMinnville" 0.2 5 2 -0.000658291562266781 -0.991108396751124
256 "Ellipsoid" "McMinnville" 0.2 5 2 -3.08882356757289 -2.68621832083951
257 "Disk" "Lindenberg" 0.2 5 2 -0.181779185625408 -0.83495105382748
258 "Ellipsoid" "Lindenberg" 0.2 5 2 -4.06165787232129 -3.11046297519685
259 "Disk" "Croker river" 0.2 5 2 -0.957581648102259 0.303795291081899
260 "Ellipsoid" "Croker river" 0.2 5 2 -8.72047507092229 -0.69613159013421
261 "Disk" "Phillip SW Belize" 0.15 5 2 0.153099605903886 -1.0676161181916
262 "Ellipsoid" "Phillip SW Belize" 0.15 5 2 -1.88732337025113 -1.20896905386546
263 "Disk" "Lake Charles" 0.15 5 2 0.376511744076885 -1.27842191233391
264 "Ellipsoid" "Lake Charles" 0.15 5 2 -2.14087258223145 -1.47817519943176
265 "Disk" "McMinnville" 0.15 5 2 -0.000658291562266781 -0.991108396751124
266 "Ellipsoid" "McMinnville" 0.15 5 2 -3.08882356757289 -2.68621832083951
267 "Disk" "Lindenberg" 0.15 5 2 -0.181779185625408 -0.83495105382748
268 "Ellipsoid" "Lindenberg" 0.15 5 2 -4.06165787232129 -3.11046297519685
269 "Disk" "Croker river" 0.15 5 2 -0.957581648102259 0.303795291081899
270 "Ellipsoid" "Croker river" 0.15 5 2 -8.72047507092229 -0.69613159013421
271 "Disk" "Phillip SW Belize" 0.1 5 2 0.153099605903886 -1.0676161181916
272 "Ellipsoid" "Phillip SW Belize" 0.1 5 2 -1.88732337025113 -1.20896905386546
273 "Disk" "Lake Charles" 0.1 5 2 0.376511744076885 -1.27842191233391
274 "Ellipsoid" "Lake Charles" 0.1 5 2 -2.14087258223145 -1.47817519943176
275 "Disk" "McMinnville" 0.1 5 2 -0.000658291562266781 -0.991108396751124
276 "Ellipsoid" "McMinnville" 0.1 5 2 -3.08882356757289 -2.68621832083951
277 "Disk" "Lindenberg" 0.1 5 2 -0.181779185625408 -0.83495105382748
278 "Ellipsoid" "Lindenberg" 0.1 5 2 -4.06165787232129 -3.11046297519685
279 "Disk" "Croker river" 0.1 5 2 -0.957581648102259 0.303795291081899
280 "Ellipsoid" "Croker river" 0.1 5 2 -8.72047507092229 -0.69613159013421
281 "Disk" "Phillip SW Belize" 0.05 5 2 0.153099605903886 -1.0676161181916
282 "Ellipsoid" "Phillip SW Belize" 0.05 5 2 -1.88732337025113 -1.20896905386546
283 "Disk" "Lake Charles" 0.05 5 2 0.376511744076885 -1.27842191233391
