"ExNum" "CrownShape" "WeatherStation" "CrownTransmissibility" "ForestGapSize" "PlotID" "ShadeTolerance" "Proportion"
58 "Ellipsoid" "Lindenberg" 0.2 10 1 "low" 0.386689973779498
59 "Disk" "Croker river" 0.2 10 1 "high" 0
59 "Disk" "Croker river" 0.2 10 1 "intermediate" 0.548258209514296
59 "Disk" "Croker river" 0.2 10 1 "low" 0.451741790485704
60 "Ellipsoid" "Croker river" 0.2 10 1 "high" 0
60 "Ellipsoid" "Croker river" 0.2 10 1 "intermediate" 0.532276189287052
60 "Ellipsoid" "Croker river" 0.2 10 1 "low" 0.467723810712948
61 "Disk" "Phillip SW Belize" 0.15 10 1 "high" 0.21975277812461
61 "Disk" "Phillip SW Belize" 0.15 10 1 "intermediate" 0.552378574104133
61 "Disk" "Phillip SW Belize" 0.15 10 1 "low" 0.227868647771257
62 "Ellipsoid" "Phillip SW Belize" 0.15 10 1 "high" 0.226869771507055
62 "Ellipsoid" "Phillip SW Belize" 0.15 10 1 "intermediate" 0.524410038706455
62 "Ellipsoid" "Phillip SW Belize" 0.15 10 1 "low" 0.24872018978649
63 "Disk" "Lake Charles" 0.15 10 1 "high" 0.224497440379573
63 "Disk" "Lake Charles" 0.15 10 1 "intermediate" 0.563241353477338
63 "Disk" "Lake Charles" 0.15 10 1 "low" 0.212261206143089
64 "Ellipsoid" "Lake Charles" 0.15 10 1 "high" 0.218878761393432
64 "Ellipsoid" "Lake Charles" 0.15 10 1 "intermediate" 0.526532650767886
64 "Ellipsoid" "Lake Charles" 0.15 10 1 "low" 0.254588587838681
65 "Disk" "McMinnville" 0.15 10 1 "high" 0.147209389436883
65 "Disk" "McMinnville" 0.15 10 1 "intermediate" 0.633287551504557
65 "Disk" "McMinnville" 0.15 10 1 "low" 0.219503059058559
66 "Ellipsoid" "McMinnville" 0.15 10 1 "high" 0.138094643526033
66 "Ellipsoid" "McMinnville" 0.15 10 1 "intermediate" 0.597702584592334
66 "Ellipsoid" "McMinnville" 0.15 10 1 "low" 0.264202771881633
67 "Disk" "Lindenberg" 0.15 10 1 "high" 0.130727931077538
67 "Disk" "Lindenberg" 0.15 10 1 "intermediate" 0.660506929704083
67 "Disk" "Lindenberg" 0.15 10 1 "low" 0.208765139218379
68 "Ellipsoid" "Lindenberg" 0.15 10 1 "high" 0.126732426020727
68 "Ellipsoid" "Lindenberg" 0.15 10 1 "intermediate" 0.617430390810338
68 "Ellipsoid" "Lindenberg" 0.15 10 1 "low" 0.255837183168935
69 "Disk" "Croker river" 0.15 10 1 "high" 0
69 "Disk" "Croker river" 0.15 10 1 "intermediate" 0.780122362342365
69 "Disk" "Croker river" 0.15 10 1 "low" 0.219877637657635
70 "Ellipsoid" "Croker river" 0.15 10 1 "high" 0
70 "Ellipsoid" "Croker river" 0.15 10 1 "intermediate" 0.673866899737795
70 "Ellipsoid" "Croker river" 0.15 10 1 "low" 0.326133100262205
71 "Disk" "Phillip SW Belize" 0.1 10 1 "high" 0.393931826694968
71 "Disk" "Phillip SW Belize" 0.1 10 1 "intermediate" 0.433387439130978
71 "Disk" "Phillip SW Belize" 0.1 10 1 "low" 0.172680734174054
72 "Ellipsoid" "Phillip SW Belize" 0.1 10 1 "high" 0.375702334873268
72 "Ellipsoid" "Phillip SW Belize" 0.1 10 1 "intermediate" 0.437757522786865
72 "Ellipsoid" "Phillip SW Belize" 0.1 10 1 "low" 0.186540142339868
73 "Disk" "Lake Charles" 0.1 10 1 "high" 0.373579722811837
