pxcor,pycor,Latitude,CrownShape,CrownTransmissibility,Radiation
"-200",130,52.217,Disk,5,0
"-200",-15,52.217,Disk,5,0
"-200",-128,52.217,Disk,5,0
"-200",158,52.217,Disk,5,0
"-200",-179,52.217,Disk,5,0
"-200",-96,52.217,Disk,5,0
"-200",159,52.217,Disk,5,0
"-200",45,52.217,Disk,5,0
"-200",132,52.217,Disk,5,0
"-200",-117,52.217,Disk,5,0
"-200",-182,52.217,Disk,5,0
"-200",32,52.217,Disk,5,0
"-200",109,52.217,Disk,5,0
"-200",180,52.217,Disk,5,0
"-200",-21,52.217,Disk,5,0
"-200",-46,52.217,Disk,5,0
"-200",-193,52.217,Disk,5,0
"-200",92,52.217,Disk,5,0
"-200",-60,52.217,Disk,5,0
"-200",-118,52.217,Disk,5,0
"-200",78,52.217,Disk,5,0
"-200",89,52.217,Disk,5,0
"-200",-75,52.217,Disk,5,0
"-200",178,52.217,Disk,5,0
"-200",-192,52.217,Disk,5,0
"-200",43,52.217,Disk,5,0
"-200",136,52.217,Disk,5,0
"-200",198,52.217,Disk,5,0
"-200",-126,52.217,Disk,5,0
"-200",4,52.217,Disk,5,0
"-200",169,52.217,Disk,5,0
"-200",74,52.217,Disk,5,0
"-200",105,52.217,Disk,5,0
"-200",93,52.217,Disk,5,0
"-200",34,52.217,Disk,5,0
"-200",-166,52.217,Disk,5,0
"-200",-120,52.217,Disk,5,0
"-200",179,52.217,Disk,5,0
"-200",-171,52.217,Disk,5,0
"-200",-147,52.217,Disk,5,0
"-200",148,52.217,Disk,5,0
"-200",-97,52.217,Disk,5,0
"-200",129,52.217,Disk,5,0
"-200",-17,52.217,Disk,5,0
"-200",195,52.217,Disk,5,0
"-200",-35,52.217,Disk,5,0
"-200",107,52.217,Disk,5,0
"-200",149,52.217,Disk,5,0
"-200",190,52.217,Disk,5,0
"-200",-189,52.217,Disk,5,0
"-200",-70,52.217,Disk,5,0
"-200",-116,52.217,Disk,5,0
"-200",199,52.217,Disk,5,0
"-200",121,52.217,Disk,5,0
"-200",-113,52.217,Disk,5,0
"-200",-123,52.217,Disk,5,0
"-200",101,52.217,Disk,5,0
"-200",-53,52.217,Disk,5,0
"-200",-24,52.217,Disk,5,0
"-200",-55,52.217,Disk,5,0
"-200",99,52.217,Disk,5,0
"-200",98,52.217,Disk,5,0
"-200",191,52.217,Disk,5,0
"-200",103,52.217,Disk,5,0
"-200",108,52.217,Disk,5,0
"-200",94,52.217,Disk,5,0
"-200",140,52.217,Disk,5,0
"-200",-69,52.217,Disk,5,0
"-200",-168,52.217,Disk,5,0
"-200",61,52.217,Disk,5,0
"-200",-8,52.217,Disk,5,0
"-200",-110,52.217,Disk,5,0
"-200",26,52.217,Disk,5,0
"-200",91,52.217,Disk,5,0
"-200",-84,52.217,Disk,5,0
"-200",20,52.217,Disk,5,0
"-200",-160,52.217,Disk,5,0
"-200",-178,52.217,Disk,5,0
"-200",25,52.217,Disk,5,0
"-200",33,52.217,Disk,5,0
"-200",21,52.217,Disk,5,0
"-200",-11,52.217,Disk,5,0
"-200",-135,52.217,Disk,5,0
"-200",49,52.217,Disk,5,0
"-200",175,52.217,Disk,5,0
"-200",131,52.217,Disk,5,0
